timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1741646266.96019006,104068978,0,2.0,3.3,353.94,2.388153553009033,0.11403124034404755,-0.04582882672548294,0.01651492528617382,6.891244888305664,-0.9017515778541565,-49.91758346557617,0.05,0.11,-0.04,584.16
1741646266.96019006,104068978,1,0.46,1.09,334.96,2.6590499877929688,-0.8995853662490845,-0.07469730079174042,0.016085360199213028,6.907895565032959,-1.6636978387832642,-50.03264617919922,-0.17,0.5,-0.09,584.16
1741646267.00017691,104108965,0,1.95,3.63,354.24,2.3686609268188477,0.13684579730033875,-0.061701104044914246,0.001696901977993548,6.992788791656494,-0.8976161479949951,-49.91733932495117,0.05,0.12,-0.04,584.16
1741646267.00017691,104108965,1,0.5,1.99,334.83,2.6430084705352783,-0.8694801926612854,-0.09137095510959625,0.0005592266097664833,7.017220497131348,-1.663408637046814,-50.03249740600586,-0.17,0.5,-0.09,584.16
1741646267.02016997,104128958,0,2.3,3.8,354.58,2.359306812286377,0.13676156103610992,-0.06820899993181229,-0.004728060681372881,7.043947696685791,-0.8951942920684814,-49.917171478271484,0.05,0.12,-0.04,584.16
1741646267.02016997,104128958,1,0.98,2.47,334.76,2.630275011062622,-0.8608768582344055,-0.09818063676357269,-0.005608800798654556,7.071505069732666,-1.6587432622909546,-50.03221130371094,-0.17,0.5,-0.09,584.16
1741646267.04016304,104148951,0,1.9,3.95,354.72,2.348297595977783,0.14655399322509766,-0.07340004295110703,-0.010522166267037392,7.092827796936035,-0.8925312161445618,-49.91794967651367,0.05,0.12,-0.04,584.16
1741646267.04016304,104148951,1,0.46,2.75,334.87,2.6186349391937256,-0.8459025025367737,-0.10465431213378906,-0.013685164973139763,7.125040054321289,-1.6554173231124878,-50.03229522705078,-0.17,0.5,-0.09,584.16
1741646267.08014989,104188938,0,2.57,4.21,355.5,2.3285179138183594,0.16331513226032257,-0.0698893815279007,-0.01036635972559452,7.196371078491211,-0.8864937424659729,-49.91777801513672,0.05,0.12,-0.04,584.16
1741646267.08014989,104188938,1,1.31,3.47,335.53,2.5932555198669434,-0.8120693564414978,-0.10219964385032654,-0.01506570540368557,7.233743190765381,-1.6464582681655884,-50.033145904541016,-0.18,0.5,-0.09,584.16
1741646267.12013602,104228924,0,2.73,4.26,355.75,2.3086957931518555,0.19118914008140564,-0.0687655583024025,-0.005029948893934488,7.298152446746826,-0.8795414566993713,-49.917938232421875,0.05,0.12,-0.04,584.16
1741646267.12013602,104228924,1,1.05,3.5,336.18,2.5708279609680176,-0.7672595381736755,-0.10290759801864624,-0.012420935556292534,7.341814994812012,-1.6335629224777222,-50.033626556396484,-0.18,0.5,-0.09,584.16
1741646267.16012287,104268911,0,2.52,4.54,355.82,2.283027172088623,0.21056903898715973,-0.07026486098766327,-0.004496006760746241,7.397951602935791,-0.8715612888336182,-49.91839599609375,0.05,0.12,-0.04,584.16
1741646267.16012287,104268911,1,1.38,4.27,336.42,2.536939859390259,-0.7326114773750305,-0.10449014604091644,-0.013657912611961365,7.447382926940918,-1.623594880104065,-50.03458786010742,-0.18,0.5,-0.09,584.16
1741646267.20010900,104308897,0,2.8,4.72,356.74,2.2578210830688477,0.22538244724273682,-0.08082284033298492,-0.015983959659934044,7.495858669281006,-0.8624254465103149,-49.919219970703125,0.05,0.12,-0.04,584.16
1741646267.20010900,104308897,1,2.45,4.05,337.51,2.506334066390991,-0.6991078853607178,-0.11679662764072418,-0.03132926672697067,7.550608158111572,-1.6159754991531372,-50.036373138427734,-0.18,0.5,-0.1,584.16
1741646267.22010303,104328891,0,2.81,4.84,357.08,2.245013952255249,0.245564803481102,-0.07889489829540253,-0.014830672182142735,7.5451531410217285,-0.8574181199073792,-49.9193229675293,0.05,0.12,-0.04,584.16
1741646267.22010303,104328891,1,2.19,4.43,338.4,2.4942290782928467,-0.6683861613273621,-0.11474576592445374,-0.03104730322957039,7.601558685302734,-1.6075886487960815,-50.036434173583984,-0.18,0.5,-0.1,584.16
1741646267.24009609,104348884,0,3.14,4.93,357.29,2.2302095890045166,0.25219765305519104,-0.08029340207576752,-0.017515184357762337,7.591904640197754,-0.8522352576255798,-49.92023849487305,0.05,0.12,-0.04,584.16
1741646267.24009609,104348884,1,2.83,4.25,339.12,2.477775812149048,-0.6503764390945435,-0.11603439599275589,-0.034164510667324066,7.651818752288818,-1.6002403497695923,-50.0367317199707,-0.18,0.5,-0.1,584.16
1741646267.28008294,104388871,0,3.39,5.02,358.13,2.2023205757141113,0.27972927689552307,-0.09244653582572937,-0.033521268516778946,7.6913065910339355,-0.8406535983085632,-49.920597076416016,0.05,0.12,-0.04,584.16
1741646267.28008294,104388871,1,2.9,5.1,340.1,2.4429399967193604,-0.6045327186584473,-0.1290808618068695,-0.04978993907570839,7.751912593841553,-1.5902742147445679,-50.03871536254883,-0.18,0.49,-0.09,584.16
1741646267.32006907,104428857,0,3.6,5.1,359.12,2.1743879318237305,0.3066999614238739,-0.10082599520683289,-0.03714226931333542,7.788384437561035,-0.8280612826347351,-49.92184066772461,0.05,0.12,-0.04,584.16
1741646267.32006907,104428857,1,3.77,5.66,341.6,2.4073374271392822,-0.5487900972366333,-0.13773387670516968,-0.056293703615665436,7.852665901184082,-1.5683406591415405,-50.0405158996582,-0.18,0.49,-0.1,584.16
